,Posting Date,Day of the Week,Amount Spent,Category,Description,Payment Method
205,1/1/19,Tuesday,16.2,Merchandise,Cosmetics,Discover Credit Card
236,1/11/19,Friday,44.4,Bills,Phone,Chase Debit Card
238,1/11/19,Friday,13.99,Merchandise,Amazon,Chase Debit Card
239,1/13/19,Sunday,24.98,Merchandise,Amazon,Discover Credit Card
240,1/14/19,Monday,372.59,Merchandise,Best Buy,Discover Credit Card
244,1/15/19,Tuesday,7.99,Merchandise,Amazon,Discover Credit Card
245,1/16/19,Wednesday,20.6,Merchandise,Amazon,Discover Credit Card
206,1/2/19,Wednesday,72.05,Merchandise,Clothes,Discover Credit Card
207,1/2/19,Wednesday,45.83,Merchandise,Cosmetics,Discover Credit Card
208,1/2/19,Wednesday,43.58,Merchandise,Cosmetics,Discover Credit Card
209,1/2/19,Wednesday,11.74,Merchandise,Amazon,Discover Credit Card
210,1/2/19,Wednesday,9.35,Merchandise,Clothes,Discover Credit Card
249,1/20/19,Sunday,102.59,Merchandise,Best Buy,Discover Credit Card
252,1/22/19,Tuesday,72.08,Merchandise,Clothes,Chase Debit Card
255,1/23/19,Wednesday,14.42,Merchandise,Amazon,Discover Credit Card
259,1/24/19,Thursday,9.95,Merchandise,Amazon,Chase Debit Card
261,1/25/19,Friday,11.74,Merchandise,Amazon,Discover Credit Card
263,1/28/19,Monday,7.88,Merchandise,Amazon,Discover Credit Card
267,1/29/19,Tuesday,14.77,Bills,Credit Card,Discover Credit Card
212,1/3/19,Thursday,31.11,Merchandise,Amazon,Discover Credit Card
213,1/3/19,Thursday,9.99,Merchandise,Amazon,Discover Credit Card
220,1/7/19,Monday,10.79,Merchandise,Amazon,Discover Credit Card
221,1/8/19,Tuesday,117.27,Merchandise,Cosmetics,Discover Credit Card
223,1/8/19,Tuesday,52.52,Merchandise,Clothes,Discover Credit Card
225,1/8/19,Tuesday,28.05,Merchandise,Clothes,Discover Credit Card
227,1/8/19,Tuesday,13.51,Merchandise,Clothes,Discover Credit Card
229,1/8/19,Tuesday,7.75,Merchandise,Clothes,Discover Credit Card
230,1/8/19,Tuesday,3.51,Food,Starbucks,Discover Credit Card
20,10/1/18,Monday,1380.0,Bills,Rent,Chase Debit Card
40,10/10/18,Wednesday,9.99,Merchandise,Amazon,Chase Debit Card
41,10/10/18,Wednesday,1.62,Merchandise,Amazon,Chase Debit Card
44,10/12/18,Friday,7.48,Merchandise,Amazon,Chase Debit Card
45,10/12/18,Friday,7.4,Merchandise,Amazon,Chase Debit Card
47,10/14/18,Sunday,21.59,Merchandise,Best Buy,Discover Credit Card
50,10/17/18,Wednesday,44.03,Merchandise,Clothes,Chase Debit Card
51,10/17/18,Wednesday,24.95,Merchandise,Clothes,Chase Debit Card
52,10/18/18,Thursday,283.92,Merchandise,Clothes,Chase Debit Card
53,10/18/18,Thursday,27.81,Merchandise,Amazon,Chase Debit Card
54,10/18/18,Thursday,25.99,Merchandise,Amazon,Chase Debit Card
56,10/19/18,Friday,32.5,Merchandise,Amazon,Chase Debit Card
57,10/19/18,Friday,10.13,Merchandise,Amazon,Chase Debit Card
58,10/19/18,Friday,8.72,Merchandise,Amazon,Chase Debit Card
24,10/2/18,Tuesday,55.1,Merchandise,Clothes,Chase Debit Card
25,10/2/18,Tuesday,36.38,Merchandise,Clothes,Chase Debit Card
60,10/22/18,Monday,40.25,Merchandise,Clothes,Chase Debit Card
62,10/22/18,Monday,27.56,Merchandise,Clothes,Chase Debit Card
63,10/22/18,Monday,25.99,Merchandise,Clothes,Chase Debit Card
