,YEAR,STATE,RATE,DEATHS
301,2005,AK,22.4,93
251,2014,AK,19.4,113
201,2015,AK,23.9,142
151,2016,AK,19.3,124
101,2017,AK,19.3,130
51,2018,AK,17.7,122
1,2019,AK,16.2,111
300,2005,AL,29.8,1429
250,2014,AL,22.8,1281
200,2015,AL,21.7,1255
150,2016,AL,20.1,1183
100,2017,AL,19.8,1173
50,2018,AL,19.4,1176
0,2019,AL,19.8,1224
303,2005,AR,27.1,824
253,2014,AR,24.0,828
203,2015,AR,24.7,886
153,2016,AR,25.4,920
103,2017,AR,32.4,1180
53,2018,AR,32.3,1194
3,2019,AR,29.8,1144
302,2005,AZ,20.4,1208
252,2014,AZ,24.3,1936
202,2015,AZ,25.3,2081
152,2016,AZ,23.9,2025
102,2017,AZ,23.7,2054
52,2018,AZ,22.4,2046
2,2019,AZ,23.4,2173
304,2005,CA,23.8,7697
254,2014,CA,20.4,8249
204,2015,CA,21.2,8845
154,2016,CA,21.4,9124
104,2017,CA,22.1,9595
54,2018,CA,21.4,9506
4,2019,CA,21.8,9854
305,2005,CO,19.3,753
255,2014,CO,15.5,835
205,2015,CO,15.9,887
155,2016,CO,16.2,938
105,2017,CO,17.2,1017
55,2018,CO,16.1,974
5,2019,CO,16.4,1046
306,2005,CT,20.0,811
256,2014,CT,14.9,685
206,2015,CT,13.9,653
156,2016,CT,14.9,699
106,2017,CT,14.5,694
56,2018,CT,14.6,708
6,2019,CT,15.6,761
307,2005,DE,26.4,233
257,2014,DE,19.8,226
207,2015,DE,18.1,215
157,2016,DE,17.0,203
107,2017,DE,19.1,244
57,2018,DE,18.8,238
7,2019,DE,20.5,267
308,2005,FL,22.7,5193
258,2014,FL,19.2,5371
208,2015,FL,18.6,5403
158,2016,FL,19.5,5782
108,2017,FL,20.2,6172
58,2018,FL,19.8,6204
8,2019,FL,19.3,6174
309,2005,GA,23.2,1742
259,2014,GA,22.3,2230
209,2015,GA,21.4,2210
159,2016,GA,21.2,2238
109,2017,GA,21.5,2348
59,2018,GA,22.1,2471
9,2019,GA,20.5,2375
310,2005,HI,15.1,218
260,2014,HI,15.4,276
210,2015,HI,14.5,263
160,2016,HI,15.1,285
110,2017,HI,15.9,299
60,2018,HI,16.1,316
10,2019,HI,15.8,311
314,2005,IA,20.1,727
264,2014,IA,25.6,1019
214,2015,IA,26.7,1077
164,2016,IA,20.9,847
114,2017,IA,22.8,918
64,2018,IA,21.9,898
14,2019,IA,20.2,861
311,2005,ID,22.4,299
261,2014,ID,22.9,409
211,2015,ID,22.1,403
161,2016,ID,19.8,375
111,2017,ID,20.3,394
61,2018,ID,20.3,408
11,2019,ID,20.2,422
312,2005,IL,24.0,3034
262,2014,IL,18.7,2712
212,2015,IL,19.2,2817
162,2016,IL,18.7,2781
112,2017,IL,19.2,2927
62,2018,IL,18.6,2878
12,2019,IL,18.1,2825
313,2005,IN,27.0,1719
263,2014,IN,24.4,1819
213,2015,IN,26.9,2030
163,2016,IN,26.0,1992
113,2017,IN,26.6,2096
63,2018,IN,26.0,2093
13,2019,IN,25.0,2045
315,2005,KS,23.8,710
265,2014,KS,19.2,643
215,2015,KS,20.2,684
165,2016,KS,21.2,727
115,2017,KS,25.2,874
65,2018,KS,22.6,803
15,2019,KS,24.4,884
316,2005,KY,27.8,1187
266,2014,KY,23.4,1175
216,2015,KY,28.2,1458
166,2016,KY,28.4,1479
116,2017,KY,27.7,1474
66,2018,KY,27.9,1506
16,2019,KY,29.1,1611
317,2005,LA,38.7,1695
267,2014,LA,24.8,1238
217,2015,LA,23.5,1199
167,2016,LA,25.5,1324
117,2017,LA,23.9,1272
67,2018,LA,26.9,1457
17,2019,LA,26.5,1458
320,2005,MA,17.7,1271
270,2014,MA,14.5,1202
220,2015,MA,16.7,1398
170,2016,MA,14.9,1268
120,2017,MA,15.1,1321
70,2018,MA,15.8,1391
20,2019,MA,15.3,1383
319,2005,MD,26.0,1388
269,2014,MD,19.8,1305
219,2015,MD,18.3,1243
169,2016,MD,19.6,1358
119,2017,MD,20.3,1439
69,2018,MD,19.6,1419
19,2019,MD,20.5,1514
318,2005,ME,24.7,385
268,2014,ME,22.4,414
218,2015,ME,21.9,407
168,2016,ME,23.9,463
118,2017,ME,19.7,395
68,2018,ME,23.4,478
18,2019,ME,23.6,477
